Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,9,Knuth,CPU,12,4.8642,7,0.000124463,0.00153658,20257,0,0,0,0,1,4,6,14,26,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Most Parts,CPU,11,5.2716,7,0.000266958,0.00329578,22960,0,0,0,0,1,2,5,10,18,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Most Parts,CPU,12,4.82716,6,0.000195101,0.00240865,19928,0,0,0,0,1,4,6,14,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Entropy,CPU,11,5.2716,7,0.000286377,0.00353552,22637,0,0,0,0,1,2,4,9,21,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Entropy,CPU,12,4.79012,6,0.000206374,0.00254783,19112,0,0,0,0,1,3,6,15,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Expected Size,CPU,11,5.2716,7,0.000170085,0.00209981,22635,0,0,0,0,1,2,4,10,19,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Expected Size,CPU,12,4.80247,6,0.000152136,0.00187822,19127,0,0,0,0,1,2,7,15,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,First One,,11,6.58025,10,4.1203e-05,0.000508679,1780,,,0,0,1,2,5,7,9,11,13,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,First One,,12,5.88889,10,4.2456e-05,0.000524148,1752,,,0,0,1,4,7,9,11,13,15,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,81,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Knuth,CPU,11,5.67,8,0.000213597,0.00213597,38717,0,0,0,0,1,2,5,10,18,32,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a9,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Knuth,CPU,12,5.2,7,0.000185587,0.00185587,33905,0,0,0,0,1,4,6,14,22,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Most Parts,CPU,11,5.64,7,0.000209006,0.00209006,38312,0,0,0,0,1,2,5,10,18,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Most Parts,CPU,12,5.2,7,0.000187101,0.00187101,33905,0,0,0,0,1,4,6,14,22,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Entropy,CPU,11,5.61,7,0.000335206,0.00335206,37289,0,0,0,0,1,2,4,10,19,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Entropy,CPU,12,5.18,7,0.000326641,0.00326641,33175,0,0,0,0,1,3,6,14,25,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Expected Size,CPU,11,5.62,7,0.000275613,0.00275613,37304,0,0,0,0,1,2,3,11,19,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,Expected Size,CPU,12,5.18,7,0.000264046,0.00264046,33173,0,0,0,0,1,3,6,15,23,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1a,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,First One,,11,7.24,11,5.2444e-05,0.00052444,2376,,,0,0,1,2,5,7,9,11,13,15,17,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a9,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,10,First One,,12,6.52,11,5.0706e-05,0.00050706,2335,,,0,0,1,4,7,9,11,13,15,17,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2,100,2020-12-05 17:58:10 -0800,6bacb03,master
2,11,Knuth,CPU,11,6.01653,8,0.00030281,0.00250256,61501,0,0,0,0,1,2,5,10,18,26,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2b,121,2020-12-05 17:58:10 -0800,6bacb03,master
2,11,Knuth,CPU,12,5.58678,8,0.000278247,0.00229956,55164,0,0,0,0,1,4,6,14,22,36,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ba,121,2020-12-05 17:58:10 -0800,6bacb03,master
2,11,Most Parts,CPU,11,6.01653,8,0.000291542,0.00240944,61501,0,0,0,0,1,2,5,10,18,26,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2b,121,2020-12-05 17:58:10 -0800,6bacb03,master
2,11,Most Parts,CPU,12,5.56198,7,0.000279062,0.0023063,54675,0,0,0,0,1,4,6,14,22,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,121,2020-12-05 17:58:10 -0800,6bacb03,master
